seasons,league.id,league.name,league.type,league.logo,country.name,country.code,country.flag,get
"{""year"": 2008, ""start"": ""2008-06-07"", ""end"": ""2008-06-29"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": false, ""players"": false, ""top_scorers"": false, ""top_assists"": false, ""top_cards"": false, ""injuries"": false, ""predictions"": true, ""odds"": false}}",4,Euro Championship,Cup,https://media-3.api-sports.io/football/leagues/4.png,World,,,leagues
"{""year"": 2009, ""start"": ""2009-06-14"", ""end"": ""2009-06-28"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": false, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",21,Confederations Cup,Cup,https://media-2.api-sports.io/football/leagues/21.png,World,,,leagues
"{""year"": 2010, ""start"": ""2010-08-07"", ""end"": ""2011-05-29"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",61,Ligue 1,League,https://media-1.api-sports.io/football/leagues/61.png,France,FR,https://media-3.api-sports.io/flags/fr.svg,leagues
"{""year"": 2010, ""start"": ""2010-07-30"", ""end"": ""2011-05-16"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",144,Jupiler Pro League,League,https://media-1.api-sports.io/football/leagues/144.png,Belgium,BE,https://media-1.api-sports.io/flags/be.svg,leagues
"{""year"": 2010, ""start"": ""2010-05-08"", ""end"": ""2010-11-28"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",71,Serie A,League,https://media-2.api-sports.io/football/leagues/71.png,Brazil,BR,https://media-3.api-sports.io/flags/br.svg,leagues
"{""year"": 2010, ""start"": ""2010-08-14"", ""end"": ""2011-05-17"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",39,Premier League,League,https://media-3.api-sports.io/football/leagues/39.png,England,GB,https://media-2.api-sports.io/flags/gb.svg,leagues
"{""year"": 2010, ""start"": ""2010-08-20"", ""end"": ""2011-05-14"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",78,Bundesliga,League,https://media-1.api-sports.io/football/leagues/78.png,Germany,DE,https://media-2.api-sports.io/flags/de.svg,leagues
"{""year"": 2010, ""start"": ""2010-08-28"", ""end"": ""2011-05-22"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",135,Serie A,League,https://media-3.api-sports.io/football/leagues/135.png,Italy,IT,https://media-3.api-sports.io/flags/it.svg,leagues
"{""year"": 2010, ""start"": ""2010-08-06"", ""end"": ""2011-05-29"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",88,Eredivisie,League,https://media-1.api-sports.io/football/leagues/88.png,Netherlands,NL,https://media-1.api-sports.io/flags/nl.svg,leagues
"{""year"": 2010, ""start"": ""2010-08-13"", ""end"": ""2011-05-14"", ""current"": false, ""coverage"": {""fixtures"": {""events"": true, ""lineups"": true, ""statistics_fixtures"": false, ""statistics_players"": false}, ""standings"": true, ""players"": true, ""top_scorers"": true, ""top_assists"": true, ""top_cards"": true, ""injuries"": false, ""predictions"": true, ""odds"": false}}",94,Primeira Liga,League,https://media-3.api-sports.io/football/leagues/94.png,Portugal,PT,https://media-2.api-sports.io/flags/pt.svg,leagues
